1路 淮西客运站-市中级法院-公交修造厂-段南新村-段庄-矿务局-工人(口腔)医院-市二院-古彭大厦-供销/华联大厦-万虹桥文化宫-火车东站:{5:45-00:30}
1路附 新一佳淮西店-段庄-段南新村-徐医附院西院-公交修造厂-市中级法院-淮西客运站-三环西路环岛-杏山工业园-开元四季花园:{6:20-17:30}
游1路↑ 矿大南湖校区-泉山公园-泉山法院-双山-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-戏马台-市政府-中山堂-民主路小学-爱牙医院(市三院)-堤北-化机厂-电力医院-轻工路口-王场新村:{6:15-19:00}
游1路↓ 王场新村-王场新村东门-二环北路-堤北市场-堤北-爱牙医院(市三院)-民主路小学-中山堂-市政府-戏马台-和平路-市四院-纪念塔-奎园西门-侯山窝-矿业大学-风华园-双山-泉山法院-泉山公园-矿大南湖校区:{6:15-19:00}
2路 火车东站-天桥-铁路分局-南郊宾馆-师大北门-中医院-中山饭店-市交通银行-九州大厦-市一院-金地商都-北路口-火车西站-坝子街-市三院-烟厂-火车东站:{5:50-20:00}
游2路 建筑学院-师大新校-文沃市场-风华南苑-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-南郊宾馆-袁桥(民主路)-开明市场-民主南路-文化宫-第三中学-延平路-牌楼-夹河街东口-第一中学-夹河街西口-欧洲商城-工商局-电视塔-云龙公园西门-体育场西门-云龙山隧道-滨湖公园东门-汉画像石馆-云龙山索道-金山公园-金泰小区-市财校-营房西门-营房东门-孟庄公寓-泰山汇景花园-大学城-矿业大学-翟山-翟山市场-铜山中学-师大新校-建筑学院:{6:00-19:00}
33↑ 刘湾-刘湾村南-稼悦园-孟家沟村南-光环钢管-新大洲-淮海蔬菜市场-基桩公司-二十四中-杨庄-家电市场-木材市场-二九宿舍-下淀-下淀桥西-堤北市场-地质五队宿舍-建材中专-港南小区-后勤学院-北路口-金地商都-九州大厦(单)-彭城饭店 :{6:30-19:30}
33↓ 彭城饭店-九州大厦(单)-金地商都-北路口-后勤学院-港南小区-建材中专-地质五队宿舍-堤北市场-下淀桥西-下淀-二九宿舍-木材市场-家电市场-杨庄-二十四中-基桩公司-淮海蔬菜市场-新大洲-光环钢管-孟家沟村南-稼悦园-刘湾村南-刘湾 :{6:30-19:30}
34↑ 韩山村南-湖滨市场-湖北路市场-肖庄-体育中心-矿总医院-泉山医院-体育场西门-云龙公园西门-电视塔-工商局-欧洲商城-夹河街西口-第一中学-夹河街东口-北路口-后勤学院-港南小区-恒昌花园-马场村-祥和小区-祥和路东-轻工路口-王场新村-江苏家具城-八里屯-淮东家具城-华隆家具城 :{6:35-19:35}
34↓ 华隆家具城-淮东家具城-八里屯-江苏家具城-王场新村-轻工路口-祥和路东-祥和小区-马场村-恒昌花园-港南小区-后勤学院-北路口-夹河街东口-第一中学-夹河街西口-欧洲商城-工商局-电视塔-云龙公园西门-体育场西门-泉山医院-矿总医院-体育中心-肖庄-湖北路市场-湖滨市场-韩山村南 :{6:35-19:35}
35↑ 淮西客运站-市中级法院-公交修造厂-段南新村-段庄-矿务局-工人(口腔)医院-欧洲商城-工商局-云龙公园北门-云龙电影院-中医院-云龙山东门-积翠新村-市四院-纪念塔-奎园西门-奎园小区-奎园铁路小区-科技城-矿大北门-矿业大学-风华园 :{6:30-19:30}
35↓ 风华园-矿业大学-矿大北门-科技城-奎园铁路小区-奎园小区-奎园西门-纪念塔-市四院-积翠新村-云龙山东门-中医院-云龙电影院-云龙公园北门-工商局-欧洲商城-工人(口腔)医院-矿务局-段庄-段南新村-公交修造厂-市中级法院-淮西客运站 :{6:30-19:30}
36↑ 建筑学院-铜山中学-翟山市场-翟山-矿业大学-矿大北门-科技城-奎园铁路小区-奎园小区-奎园西门-奎园北门-汉桥-徐医附三院-铁路分局-天桥-火车东站(蓝天)-火车东站(朝阳)-四道街-新建北村-二环北路-王场新村东门-江苏家具城-八里屯-淮东家具城-华隆家具城 :{6:20-19:10}
36↓ 华隆家具城-淮东家具城-八里屯-江苏家具城-王场新村东门-二环北路-新建北村-四道街-火车东站(朝阳)-火车东站(蓝天)-天桥-铁路分局-徐医附三院-汉桥-奎园北门-奎园西门-奎园小区-奎园铁路小区-科技城-矿大北门-矿业大学-翟山-翟山市场-铜山中学-建筑学院 :{6:20-19:10}
37↑ 彭城饭店-古彭大厦-市二院-事业小区-黄河新村-合群桥-合群新村-沈场市场-水漫桥-西苑东口-西苑小区-西苑西口-铜山货场-格瑞实业公司-九里医院(苏山头)-汉城路口-汉城-一中分校-工院九里校区-九里区政府-龟山汉墓-西游记宫-聋哑学校 :{6:30-19:10}
37↓ 聋哑学校-西游记宫-龟山汉墓-九里区政府-工院九里校区-一中分校-汉城-汉城路口-九里医院(苏山头)-格瑞实业公司-铜山货场-西苑西口-西苑小区-西苑东口-水漫桥-沈场市场-合群新村-合群桥-黄河新村-事业小区-市二院-古彭大厦-彭城饭店 :{6:30-19:10}
